,cnt,casual,registered
0,-0.9563117241915204,-0.6627359960641206,-0.9301624851497268
1,-0.8239983790667246,-0.5613264652160687,-0.8046316929883668
2,-0.8681028274416566,-0.6221721837248998,-0.8376661119781984
3,-0.9728508923321199,-0.6627359960641206,-0.9499831365436257
4,-1.0390075648945178,-0.7235817145729518,-1.0094450907253225
5,-1.0390075648945178,-0.7235817145729518,-1.0094450907253225
6,-1.0334945088476513,-0.683017902233731,-1.0160519745232888
7,-1.027981452800785,-0.7032998084033414,-1.0028382069273563
8,-1.0004161725664524,-0.7032998084033414,-0.9698037879375246
9,-0.9673378362852534,-0.5613264652160687,-0.9764106717354909
10,-0.8460506032541906,-0.480198840537627,-0.8574867633720973
11,-0.7357894823168607,-0.19625215416308145,-0.8178454605842994
12,-0.581423913004599,-0.13540643565425026,-0.6526733656351417
13,-0.526293352535934,0.2296678753987369,-0.7055284360188722
14,-0.4601366799735361,-0.013714998636587874,-0.5469632248676808
15,-0.4380844557860701,0.08769453221146412,-0.553570108665647
16,-0.5318064085828005,0.10797643838107451,-0.6724940170290407
17,-0.6751458658013293,-0.4193531220287958,-0.6724940170290407
18,-0.851563659301057,-0.5410445590464582,-0.8442729957761647
19,-0.8405375472073241,-0.6018902775552895,-0.8112385767863332
20,-0.8460506032541906,-0.5004807467072374,-0.850879879574131
21,-0.8570767153479235,-0.6627359960641206,-0.8112385767863332
22,-0.8901550516291225,-0.5004807467072374,-0.9037349499578615
23,-0.829511435113591,-0.4193531220287958,-0.8574867633720973
24,-0.950798668144654,-0.6424540898945102,-0.9301624851497268
25,-0.950798668144654,-0.7032998084033414,-0.9103418337558278
26,-0.9949031165195859,-0.7032998084033414,-0.9631969041395583
27,-1.0114422846601854,-0.683017902233731,-0.9896244393314235
28,-1.027981452800785,-0.683017902233731,-1.0094450907253225
29,-1.0334945088476513,-0.7235817145729518,-1.0028382069273563
30,-1.0390075648945178,-0.7235817145729518,-1.0094450907253225
31,-1.0004161725664524,-0.7235817145729518,-0.9631969041395583
32,-0.9342595000040544,-0.7032998084033414,-0.8905211823619289
33,-0.7523286504574602,-0.581608371385679,-0.7121353198168385
34,-0.6586066976607298,-0.3990712158591854,-0.659280249433108
35,-0.5318064085828005,-0.31794359118074383,-0.5337494572717482
36,-0.6310414174263973,-0.5004807467072374,-0.5932114114534449
37,-0.7192503141762612,-0.6424540898945102,-0.6526733656351417
38,-0.6365544734732638,-0.33822549735035423,-0.6526733656351417
39,-0.6255283613795308,-0.5410445590464582,-0.573390760059546
40,-0.6861719778950622,-0.581608371385679,-0.6328527142412428
41,-0.7523286504574602,-0.5207626528768479,-0.7319559712107374
42,-0.8791289395353895,-0.7032998084033414,-0.8244523443822658
43,-0.9232333879103215,-0.6221721837248998,-0.9037349499578615
44,-0.873615883488523,-0.5004807467072374,-0.8839142985639625
45,-0.9949031165195859,-0.7235817145729518,-0.956590020341592
46,-1.0004161725664524,-0.7235817145729518,-0.9631969041395583
47,-1.0169553407070517,-0.7235817145729518,-0.9830175555334573
48,-1.0334945088476513,-0.7235817145729518,-1.0028382069273563
49,-1.0390075648945178,-0.7235817145729518,-1.0094450907253225
50,-1.027981452800785,-0.7235817145729518,-0.9962313231293899
51,-0.8791289395353895,-0.7235817145729518,-0.8178454605842994
52,-0.6916850339419287,-0.7032998084033414,-0.5998182952514112
53,-0.1955099897239444,-0.7032998084033414,-0.005198753434443288
54,-0.559371688817133,-0.581608371385679,-0.4808943868880176
55,-0.8019461548792586,-0.5004807467072374,-0.7980248091904005
56,-0.7633547625511932,-0.5207626528768479,-0.74516973880667
57,-0.7082242020825282,-0.4599169343680166,-0.6989215522209059
58,-0.7082242020825282,-0.5613264652160687,-0.6658871332310743
59,-0.6200153053326644,-0.5004807467072374,-0.5799976438575123
60,-0.6475805855669968,-0.4396350281984062,-0.6328527142412428
61,-0.6255283613795308,-0.5410445590464582,-0.573390760059546
62,-0.17897082158334493,-0.5004807467072374,-0.051446940020207464
63,-0.17897082158334493,-0.5410445590464582,-0.03823317242427484
64,-0.4380844557860701,-0.5613264652160687,-0.3421498271307251
65,-0.7578417065043267,-0.6627359960641206,-0.6923146684229395
66,-0.7578417065043267,-0.6627359960641206,-0.6923146684229395
67,-0.9342595000040544,-0.7235817145729518,-0.8839142985639625
68,-0.9783639483789863,-0.7032998084033414,-0.9433762527456594
69,-1.0169553407070517,-0.7235817145729518,-0.9830175555334573
70,-1.0334945088476513,-0.7235817145729518,-1.0028382069273563
71,-1.0390075648945178,-0.7235817145729518,-1.0094450907253225
72,-1.0334945088476513,-0.7235817145729518,-1.0028382069273563
73,-1.0224683967539183,-0.7235817145729518,-0.9896244393314235
74,-0.8460506032541906,-0.7235817145729518,-0.7782041577965016
75,-0.526293352535934,-0.683017902233731,-0.40821866511038823
76,-0.05768358855228208,-0.683017902233731,0.15336645771674817
77,-0.493215016254735,-0.683017902233731,-0.36857736232259036
78,-0.8129722669729916,-0.6221721837248998,-0.7715972739985353
79,-0.7302764262699942,-0.581608371385679,-0.6857077846249733
80,-0.6145022492857979,-0.480198840537627,-0.5799976438575123
81,-0.5097541843953345,-0.35850740351996463,-0.49410815448395023
82,-0.6971980899887953,-0.5410445590464582,-0.659280249433108
83,-0.6861719778950622,-0.378789309689575,-0.6989215522209059
84,-0.5869369690514654,-0.4193531220287958,-0.5667838762615797
85,0.12424726099431219,-0.5207626528768479,0.3185385526659059
86,-0.041144420411682606,-0.6627359960641206,0.16658022531268077
87,-0.4270583436923371,-0.683017902233731,-0.2892947567469946
88,-0.7468155944105936,-0.7032998084033414,-0.6658871332310743
89,-0.7798939306917927,-0.7235817145729518,-0.6989215522209059
90,-0.851563659301057,-0.7032998084033414,-0.7914179253924343
91,-0.9838770044258529,-0.683017902233731,-0.956590020341592
92,-1.0114422846601854,-0.7235817145729518,-0.9764106717354909
93,-1.0114422846601854,-0.7235817145729518,-0.9764106717354909
94,-1.0334945088476513,-0.7235817145729518,-1.0028382069273563
95,-1.0334945088476513,-0.7235817145729518,-1.0028382069273563
96,-1.027981452800785,-0.7235817145729518,-0.9962313231293899
97,-0.86258977139479,-0.7235817145729518,-0.7980248091904005
98,-0.559371688817133,-0.7032998084033414,-0.4412530841002198
99,0.030525308197581803,-0.6627359960641206,0.2524697146862428
100,-0.4105191755517376,-0.6018902775552895,-0.29590164054496093
101,-0.7302764262699942,-0.6424540898945102,-0.6658871332310743
102,-0.7909200427855256,-0.480198840537627,-0.7914179253924343
103,-0.6089891932389314,-0.6221721837248998,-0.5271425734737818
